汽车品牌,车型,售价,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12,2025-08-19,2025-08-26,2025-09-02,2025-09-09,2025-09-16
特斯拉,Model Y,26.35-31.35万,5910.0,7965.0,8743.0,1296.0,3865.0,1347.0,351.0,6702.0,8682.0,9514.0,10636.0,14615.0,2540.0,3912.0,3952.0,7089.0,5293.0,1292.0,5989.0,7365.0,10208.0,6032.0,11213.0,9516.0,15214.0,3548.0,9407.0,7534.0,7883.0,8919.0,9251.0,8796.0,8305.0,7630.0,8407.0,9458.0,10340.0
特斯拉,Model Y L,33.90万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,894.0,1030.0,850.0
零跑,零跑B01,8.98-14.97万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,322.0,313.0,57.0,9.0,341.0,2091.0,1630.0,1664.0,2252.0,2707.0,2459.0,2870.0,2947.0
零跑,零跑B10,9.98-14.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,97.0,405.0,211.0,18.0,16.0,657.0,2360.0,2105.0,1412.0,1213.0,1309.0,1420.0,1267.0,3265.0,1670.0,2378.0,2571.0,2167.0,1955.0,1887.0,1904.0,1946.0,1655.0,1663.0,1829.0,1898.0,1441.0,1811.0,1840.0
零跑,零跑C01,13.68-19.98万,275.0,316.0,480.0,32.0,99.0,281.0,325.0,307.0,284.0,297.0,287.0,362.0,229.0,229.0,219.0,235.0,180.0,249.0,256.0,209.0,225.0,141.0,163.0,140.0,193.0,185.0,139.0,163.0,149.0,133.0,99.0,106.0,194.0,69.0,109.0,90.0,76.0
零跑,零跑C10,12.28-14.28万,1393.0,2051.0,2691.0,126.0,760.0,1730.0,1820.0,1825.0,1834.0,2167.0,2149.0,2584.0,1669.0,1887.0,1983.0,2321.0,1512.0,1675.0,1470.0,1690.0,2841.0,2204.0,2892.0,3060.0,3286.0,3051.0,2735.0,2749.0,3160.0,2867.0,2207.0,2354.0,2910.0,3339.0,2593.0,3219.0,3123.0
零跑,零跑C11,14.88-20.98万,1507.0,1978.0,2651.0,126.0,676.0,1443.0,1505.0,1786.0,1623.0,1813.0,1700.0,2039.0,1421.0,1608.0,1767.0,2071.0,1391.0,2077.0,1957.0,1776.0,1920.0,1544.0,1890.0,2143.0,2147.0,1438.0,1179.0,1031.0,576.0,737.0,1774.0,2329.0,2334.0,2484.0,2035.0,2498.0,2311.0
零跑,零跑C16,15.18-18.98万,1058.0,1399.0,1768.0,82.0,445.0,972.0,1034.0,1075.0,1051.0,1118.0,1099.0,1328.0,931.0,1022.0,1040.0,1225.0,917.0,1447.0,1350.0,1083.0,1184.0,980.0,1406.0,1112.0,1184.0,1411.0,1712.0,1627.0,1831.0,1565.0,1233.0,1406.0,1521.0,2435.0,1491.0,1706.0,1734.0
零跑,零跑S01,11.99-15.99万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
零跑,零跑T03,5.99-6.99万,1005.0,1306.0,1490.0,78.0,722.0,842.0,816.0,1016.0,959.0,1243.0,1440.0,1815.0,1096.0,949.0,1224.0,1159.0,814.0,1138.0,1153.0,1007.0,950.0,667.0,771.0,884.0,912.0,823.0,780.0,747.0,787.0,841.0,746.0,874.0,1099.0,928.0,662.0,826.0,874.0
比亚迪,元PLUS,11.58-14.78万,2176.0,2765.0,2964.0,181.0,1528.0,2517.0,3355.0,3683.0,3365.0,5260.0,4991.0,4773.0,2922.0,2865.0,2797.0,3007.0,2594.0,3262.0,2600.0,2499.0,2554.0,2375.0,2848.0,3367.0,3443.0,2572.0,2418.0,2586.0,2845.0,2739.0,2336.0,2736.0,2999.0,2904.0,1967.0,2742.0,2747.0
比亚迪,元Pro,9.58-11.38万,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,元UP,7.48-11.98万,1385.0,1831.0,2132.0,166.0,1266.0,2090.0,3330.0,4113.0,3959.0,4011.0,3638.0,3355.0,2179.0,2018.0,1944.0,2258.0,2856.0,3359.0,2446.0,2421.0,2720.0,2570.0,3176.0,3917.0,3717.0,2725.0,2328.0,2456.0,2791.0,2926.0,3038.0,4596.0,5077.0,5573.0,4028.0,5580.0,5925.0
比亚迪,唐L,22.98-28.98万,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,573.0,1629.0,2038.0,1578.0,1873.0,1597.0,1411.0,1384.0,1091.0,1473.0,1743.0,1588.0,954.0,809.0,898.0,936.0,913.0,728.0,911.0,896.0,847.0,590.0,852.0,808.0
比亚迪,唐新能源,17.98-20.78万,1669.0,2166.0,2280.0,127.0,734.0,930.0,1259.0,1641.0,1672.0,1710.0,1586.0,1700.0,1283.0,1444.0,1442.0,1598.0,1747.0,1621.0,1179.0,1076.0,1316.0,1165.0,1661.0,1824.0,1719.0,1159.0,1089.0,1260.0,1517.0,1322.0,1094.0,1174.0,1074.0,928.0,597.0,729.0,1103.0
比亚迪,商,暂无报价,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,夏,24.98-30.98万,100.0,1033.0,1590.0,60.0,404.0,884.0,910.0,761.0,725.0,745.0,591.0,586.0,572.0,847.0,980.0,1035.0,707.0,651.0,561.0,507.0,628.0,452.0,652.0,672.0,605.0,403.0,337.0,338.0,372.0,370.0,305.0,346.0,315.0,280.0,204.0,288.0,406.0
比亚迪,宋L DM-i,13.58-17.58万,2612.0,3290.0,3714.0,227.0,1231.0,2370.0,2757.0,2722.0,2426.0,2656.0,2544.0,2685.0,2095.0,2187.0,2303.0,2741.0,3663.0,4080.0,2746.0,2743.0,3170.0,3016.0,3903.0,4791.0,4599.0,2929.0,2303.0,2580.0,2856.0,2714.0,2313.0,2621.0,2742.0,2426.0,1642.0,1978.0,2182.0
比亚迪,宋L EV,18.98-24.98万,325.0,398.0,452.0,25.0,192.0,408.0,511.0,541.0,547.0,592.0,471.0,540.0,433.0,462.0,368.0,409.0,322.0,391.0,292.0,287.0,317.0,314.0,365.0,400.0,363.0,241.0,227.0,188.0,264.0,248.0,173.0,221.0,230.0,201.0,159.0,232.0,196.0
比亚迪,宋MAX新能源,14.78-17.48万,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
比亚迪,宋PLUS新能源,13.58-18.08万,4644.0,5917.0,6906.0,425.0,2493.0,4711.0,5793.0,6014.0,5314.0,5782.0,5340.0,5477.0,3763.0,3849.0,4147.0,4565.0,5271.0,6266.0,4453.0,4290.0,4911.0,4635.0,6114.0,6654.0,6153.0,4321.0,3532.0,3851.0,3952.0,3271.0,2770.0,3169.0,2915.0,2797.0,2017.0,2275.0,2330.0
